# F2_CHECKPOINT_VERSION_STABILITY_120x5.md — per-run details (plain text for GitHub)

## Per-run details

### Run 01 — `F2-checkpoint-version-20260816T103829Z-76254ecf`

| | |
|---|---|
| Strict | **15.0%** (18/120) |
| Tolerant | 22.5% (27/120) |
| HTTP 200 | 120/120 |
| Wall time | 464.9 s |
| Warmup | yes (5 discarded) |

**GPU during run (2s samples):**

| Metric | Value |
|---|---|
| samples | 125 |
| util max % | 92.0 |
| util mean % | 79.1 |
| mem last MiB | 30160.0 |
| mem mean MiB | 30160 |
| temp max °C | 60.0 |
| power max W | 375.97 |

**GPU snapshot (post-run):**

| Field | Value |
|---|---|
| name | NVIDIA GeForce RTX 5090 |
| util_gpu_pct | 0.0 |
| util_mem_pct | 0.0 |
| memory_used_mib | 30160.0 |
| memory_total_mib | 32607.0 |
| temperature_c | 51.0 |
| power_w | 62.04 |

**vLLM metrics (post-run):**

| Metric | Value |
|---|---|
| `e2e_request_latency_seconds` | 1786876169.6679952 |
| `generation_tokens_total` | 48597.0 |
| `num_requests_running` | 0.0 |
| `num_requests_waiting` | 0.0 |
| `prompt_tokens_total` | 18691.0 |
| `time_to_first_token_seconds` | 1786876169.6679158 |

**By capability (strict):**
- Cap 1: 7/30
- Cap 2: 0/30
- Cap 3: 0/30
- Cap 4: 11/30

**All canaries (120) — strict / tolerant / score:**

| ID | Subtype | Strict | Tolerant | Score | Note / score_details |
|---|---|:---:|:---:|---:|---|
| SFC-001 | Quantitative Constraint Compliance | FAIL | FAIL | 0.00 | {'observed': 205, 'op': '==', 'n': 25} |
| SFC-002 | Quantitative Constraint Compliance | PASS | PASS | 1.00 | {'observed': 212, 'op': '>=', 'n': 40} |
| SFC-003 | Quantitative Constraint Compliance | FAIL | FAIL | 0.00 | {'observed': 204, 'op': '<=', 'n': 35} |
| SFC-004 | Quantitative Constraint Compliance | FAIL | FAIL | 0.00 | {'observed': 205, 'op': '==', 'n': 8} |
| SFC-005 | Quantitative Constraint Compliance | FAIL | FAIL | 0.00 | {'observed': 245, 'op': '==', 'n': 6} |
| SFC-006 | Keyword Inclusion | PASS | PASS | 1.00 | {'family': ['thank', 'thanks', 'thanking'], 'observed': 9, 'min_count': 1, 'exact_count': None, 'same_sentence_with': [] |
| SFC-007 | Keyword Inclusion | FAIL | FAIL | 0.00 | {'family': ['points'], 'observed': 13, 'min_count': None, 'exact_count': 3, 'same_sentence_with': []} |
| SFC-008 | Keyword Inclusion | FAIL | FAIL | 0.00 | {'family': ['mandatory'], 'observed': 0, 'min_count': 1, 'exact_count': None, 'same_sentence_with': ['hard-hat', 'hard h |
| SFC-009 | Keyword Inclusion | FAIL | FAIL | 0.00 | {'family': ['p-value'], 'observed': 0, 'min_count': 1, 'exact_count': None, 'same_sentence_with': []} |
| SFC-010 | Keyword Inclusion | PASS | PASS | 1.00 | {'family': ['sorry'], 'observed': 1, 'min_count': None, 'exact_count': 1, 'same_sentence_with': []} |
