Paper ID,Paper / Benchmark,Main Task,Injects Realistic Serving Faults?,Defines Semantic Degradation?,Compares Canaries vs. Infrastructure Monitoring?,Evaluates False Positives?,Evaluates Detection Delay?,Measures Monitoring Cost?,Tests Unseen Faults?,Tests Multiple Model Families?,Includes Multilingual Evaluation?,Releases Code or Data?,What Remains Distinct About SemaFailBench
P004,(Why) Is My Prompt Getting Worse? (CAIN 2024),Case study motivating regression testing for evolving LLM APIs,"Partially (one real silent API-update case study, not a designed multi-fault framework)","No (studies performance regression generally, not a formal semantic-degradation definition)",No,No,No,No,No,No (single case study),No,Could not verify,"SemaFailBench formalizes a taxonomy and reproducible fault-injection framework across a controlled set of deployment-induced semantic fault categories, with explicit infrastructure-health constraints; this paper is a single motivating case study, not a benchmark."
P005,RETAIN (EMNLP 2024 Demo),Interactive tool-assisted regression discovery during LLM migration,"Partially (migration scenario, human-in-the-loop, not automated fault injection)",No,No,No,No,"Partially (reports time/effort proxies, not monitoring cost in a production sense)",No,No (tool-agnostic but not evaluated across model families),No,Could not verify,"RETAIN is a human-assisted discovery tool for planned migrations; SemaFailBench targets automated, continuous, low-cost detection of unplanned deployment faults."
P016,Investigating the Impact of Quantization Methods on Safety and Reliability,Static safety-benchmark comparison of quantized model variants,"Yes, for the quantization fault only (not a multi-fault deployment framework)","Partially (defines safety degradation specifically, not general semantic degradation)",No,No,No,No,No (quantization only),Partially (4 LLMs),No,Yes (OpenMiniSafety dataset reported released),SemaFailBench spans multiple serving-fault families (of which quantization is one) and explicitly requires infrastructure metrics to remain nominal during fault injection; this paper studies one fault type on static benchmarks only.
P020,HELM (TMLR 2023),"Holistic, standardized, multi-metric LLM evaluation",No,"No (evaluates general capability/robustness/fairness/toxicity, not deployment-induced degradation)",No,No,No,No,No (evaluates released models as of a point in time),Yes (30 models),Partially (some multilingual/dialect scenarios),Yes,"HELM's multi-metric standardization is a methodological precedent, but it evaluates static model releases offline, not live serving deployments, and has no fault-injection or infrastructure-health dimension."
P021,IFEval,Verifiable-instruction-following benchmark,No,No,No,No,No,No,No,Partially (two LLMs),No,Yes,"IFEval supplies a reusable, deterministic canary *format*, not a deployment-monitoring benchmark; SemaFailBench would need to adapt such formats into a continuously-run protocol with fault injection and infrastructure constraints."
P024,How Does Quantization Affect Multilingual LLMs? (Findings of EMNLP 2024 — peer-reviewed and officially published),Static comparison of automatic vs. human evaluation of quantized multilingual models,"Yes, for the quantization fault only",Partially (documents the automatic-metric blind spot for quantization harm),"No (compares automatic vs. human evaluation, not canaries vs. infrastructure signals)",No,No,No,No (quantization only),Partially (multiple multilingual LLMs),Yes (core focus),Could not verify,"This paper's automatic-vs-human evaluation gap is the strongest single piece of evidence for SemaFailBench's core premise, but it does not test canary-style detection, infrastructure-health constraints, or any fault beyond quantization. (Corrected third pass: this is a fully peer-reviewed, published paper, not a weaker-evidence entry.)"
P026,FormatSpread / Quantifying LMs' Sensitivity to Spurious Features (ICLR 2024),Quantifying and reporting prompt-format sensitivity as a performance range,Partially (format variation is a plausible deployment fault but not framed as one),"No (reports a sensitivity range, not a binary degraded/healthy distinction)",No,No,No,No,No,Yes (multiple open-source LLMs),No,Could not verify,"FormatSpread characterizes format sensitivity as an intrinsic property to report alongside benchmark scores; it does not detect a specific deployment-introduced format change against a known-healthy baseline, which is SemaFailBench's core task."
P031,"Zero-Shot Embedding Drift Detection (ZEDD — NeurIPS 2025 Lock-LLM Workshop, workshop publication)",Prompt-injection detection via embedding drift,"No (adversarial input detection, not deployment-configuration fault)","No (defines adversarial drift, not benign deployment-induced semantic drift)",No,Yes (reports <3% false-positive rate — the only reviewed paper to do so),No,"Partially (reports latency, 19ms per a related paper in the same search cluster, not this one specifically — see Notes)",No,"Yes (Llama 3, Qwen 2, Mistral)",No,Could not verify,ZEDD is the methodologically closest *detector design* found (embedding drift with a quantified false-positive rate) but is applied to a different problem (security) with a different threat model; SemaFailBench would need to validate whether the same mechanism transfers to benign deployment faults.
P001,AgentOps: Enabling Observability of LLM Agents,Systematic mapping study / taxonomy of agent observability artifacts,"No (conceptual taxonomy, no fault injection)",No,No (conceptually argues infrastructure telemetry is insufficient but does not empirically compare it to any semantic signal),No,No,No,No,No (not model-specific),No,Could not verify,"AgentOps is a vocabulary/taxonomy paper, not an empirical benchmark; it never tests whether any cataloged artifact actually detects a semantic regression. SemaFailBench operationalizes and empirically tests this exact claim (infrastructure health != output correctness) that AgentOps only argues conceptually."
P002,Watson: A Cognitive Observability Framework for the Reasoning of LLM-Powered Agents,Reconstructing/inspecting agent reasoning traces for observability,"No (observability tooling for agent-internal reasoning, not deployment-fault injection)","No (focused on reasoning-trace fidelity, not output semantic correctness under a deployment fault)",No,No,No,No,No,"Partially (evaluated on agent benchmarks, not multiple base LLM families as a controlled variable)",No,Could not verify,Watson instruments and reconstructs *why* an agent reasoned a certain way; it assumes the underlying serving stack is behaving correctly. SemaFailBench targets the case Watson does not cover: the serving stack itself silently misbehaving (wrong template/adapter/quantization) beneath a correctly-reasoning agent loop.
