Prompt ID,Previous Prompt,Final Prompt,Previous Expected Behavior,Final Expected Behavior,Decision,Issue Found,Fix Applied,Final Capability,Final Subtype,Final Difficulty,Remaining Concern
SFC-001,Write a product description for a stainless steel water bottle. Your response must be exactly 25 words.,Write a product description for a stainless steel water bottle. Your response must be exactly 25 words.,word_count == 25,word_count == 25,KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 1: Instruction-following Fidelity,Quantitative Constraint Compliance,Easy,None.
SFC-002,Explain why customers should choose annual billing over monthly billing. Your response must be at least 40 words.,Explain why customers should choose annual billing over monthly billing. Your response must be at least 40 words.,word_count >= 40,word_count >= 40,KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 1: Instruction-following Fidelity,Quantitative Constraint Compliance,Easy,None.
SFC-003,Describe our return policy in brief. Your response must be no more than 35 words.,Describe our return policy in brief. Your response must be no more than 35 words.,word_count <= 35,word_count <= 35,KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 1: Instruction-following Fidelity,Quantitative Constraint Compliance,Moderate,None.
SFC-004,Write a one-line product tagline for a running shoe. Your response must be exactly 8 words.,Write a one-line product tagline for a running shoe. Your response must be exactly 8 words.,word_count == 8,word_count == 8,KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 1: Instruction-following Fidelity,Quantitative Constraint Compliance,Moderate,None.
SFC-005,Summarize our current system outage status in exactly 6 words.,Describe a scheduled maintenance notice in exactly 6 words.,word_count == 6,word_count == 6,MODIFIED,"Issue 6: 'current system outage status' was never supplied, so the content half of the prompt was undefined/unscored while only the word count was actually checkable.","Replaced the undefined 'outage status' framing with a self-contained content task, per the reviewer's own suggested fix.",Capability 1: Instruction-following Fidelity,Quantitative Constraint Compliance,Hard,None.
SFC-006,Write a short thank-you note to a customer. Some form of the word 'thank' must appear at least once.,Write a short thank-you note to a customer. Some form of the word 'thank' must appear at least once.,case-insensitive presence of the 'thank' word family (thank/thanks/thanking),case-insensitive presence of the 'thank' word family (thank/thanks/thanking),KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 1: Instruction-following Fidelity,Keyword Inclusion,Easy,None.
SFC-007,Write a paragraph about our loyalty program. The word 'points' must appear exactly 3 times.,Write a paragraph about our loyalty program. The word 'points' must appear exactly 3 times.,case-insensitive count('points') == 3,case-insensitive count('points') == 3,KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 1: Instruction-following Fidelity,Keyword Inclusion,Moderate,None.
SFC-008,Write a safety notice for a construction site. The word 'mandatory' must appear in direct connection with hard-hat usage.,Write a safety notice for a construction site. The word 'mandatory' must appear in direct connection with hard-hat usage.,presence of 'mandatory' within the same sentence as a hard-hat reference,presence of 'mandatory' within the same sentence as a hard-hat reference,KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 1: Instruction-following Fidelity,Keyword Inclusion,Moderate,None.
SFC-009,"Explain what a 'null hypothesis' is to a first-year statistics student, using the term 'p-value' at least once.","Explain what a 'null hypothesis' is to a first-year statistics student, using the term 'p-value' at least once.",case-insensitive presence of 'p-value',case-insensitive presence of 'p-value',KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 1: Instruction-following Fidelity,Keyword Inclusion,Hard,None.
SFC-010,"Write a three-sentence apology email for a shipping delay in which the word 'sorry' appears exactly once (not zero times, not more than once).","Write an apology message for a shipping delay in which the word 'sorry' appears exactly once (not zero times, not more than once).",case-insensitive count('sorry') == 1,case-insensitive count('sorry') == 1,MODIFIED,Issue 1: combined keyword-frequency inclusion with an unrelated sentence-count constraint (a secondary behavior on a different axis).,Dropped the sentence-count requirement; the frequency-exact behavior alone still carries the anti-double-counting difficulty driver.,Capability 1: Instruction-following Fidelity,Keyword Inclusion,Hard,None.
