Prompt ID,Capability,Subtype,Prompt,Expected Behavior,What Makes It Held-Out
SFH-001,Capability 1: Instruction-following Fidelity,Quantitative Constraint Compliance,Write a warranty summary in exactly 15 words.,word_count == 15,"Same exact-word-count mechanism as the core subtype, but a new domain (warranty summary) and a new target number (15) not used by any core item, so passing requires generalizing the counting behavior rather than recognizing a memorized target."
SFH-002,Capability 1: Instruction-following Fidelity,Keyword Inclusion,Write a product recall notice. The word 'immediately' must appear at least once.,case-insensitive presence of 'immediately',"Same presence-only inclusion mechanism as SFR-006, but a different keyword and a different, higher-stakes register (recall notice vs. thank-you note), testing generalization beyond the specific word/scenario pairing seen in training-adjacent core items."
SFH-003,Capability 1: Instruction-following Fidelity,Keyword Exclusion,Write a delivery status update without using the word 'late' anywhere.,case-insensitive absence of 'late',"Same single-word suppression mechanism as SFR-011, but a new forbidden word and scenario (delivery status vs. cancellation), avoiding a direct paraphrase of any core item."
SFH-004,Capability 1: Instruction-following Fidelity,Structural Formatting Compliance,"Write a two-item comparison of two shipping carriers. Respond with exactly one line starting with 'Pro:' and one line starting with 'Con:', and nothing else.",2 lines; line 1 starts with 'Pro:'; line 2 starts with 'Con:',"Same fixed-prefix structural mechanism as SFR-017, but a new prefix pair and new scenario (carrier comparison vs. FAQ), a different manifestation of the same structural-formatting behavior."
SFH-005,Capability 1: Instruction-following Fidelity,Response Language Fidelity,Reply in Italian: 'Our business hours are 9 to 5.',response is entirely in Italian and conveys the given statement (a direct translation; no external fact required),"Same direct-imperative language-selection mechanism as SFR-021, but a new target language (Italian, not used by any core item) and a new question topic. NOTE (v2): Supplementary consistency fix (outside the 150-core scope): removed the same unstated-fact pattern flagged as Issue 6 in the core set (SFC-021), so the held-out pool does not retain a known-flawed pattern in the frozen v2 release."
SFH-006,Capability 1: Instruction-following Fidelity,Ordering/Sequencing,"List the three sizes Small, Medium, and Large as our available sizes, in that exact order, separated by commas, and nothing else.","exact string match: 'Small, Medium, Large'","Same fixed-order list mechanism as SFR-026, but a new list domain (sizes vs. days), avoiding a direct paraphrase."
SFH-007,Capability 2: Structured-output Validity & Value Accuracy,Flat Schema,"Return JSON with fields ""sku"" (string) = ""A102"" and ""quantity"" (integer) = 12. Output only JSON.","JSON parses; keys == {sku, quantity}; sku == ""A102""; quantity == 12 as an integer","Same flat two-field mixed-type schema mechanism as SFR-031, but new field names and a new domain (inventory SKU vs. plan pricing)."
SFH-008,Capability 2: Structured-output Validity & Value Accuracy,Nested Schema,"Return JSON with a top-level ""shipment"" object containing ""carrier"" = ""FastFreight"" and ""tracking"" = ""FF77213"".","JSON parses; shipment.carrier == ""FastFreight""; shipment.tracking == ""FF77213""","Same one-level nesting mechanism as SFR-036, but a new domain (shipment tracking vs. customer records) and new field names."
SFH-009,Capability 2: Structured-output Validity & Value Accuracy,Type Strictness,"Return JSON with field ""discount_applied"" as a boolean (not a string) equal to true.",typeof(discount_applied) == boolean AND discount_applied == true,"Same boolean-type-strictness mechanism as SFR-042, but a new field name and true (not false), testing that the type-checking behavior generalizes across polarity and field identity."
SFH-010,Capability 2: Structured-output Validity & Value Accuracy,Enum Constraint,"Return JSON with field ""shipping_method"" restricted to one of ""standard"", ""express"", ""overnight"", set to ""express"".","shipping_method is a member of the 3-value enum AND equals ""express""","Same single-field enum-membership mechanism as SFR-046, but a new enum vocabulary and field."
SFH-011,Capability 2: Structured-output Validity & Value Accuracy,Value Accuracy,"A customer buys 4 units at $6.50 each. Return JSON with field ""total"" (number) equal to the correct total cost.","JSON parses; total == 26 (computed, not merely present)","Same computed structured-field mechanism as SFR-051, but new quantities/prices, testing generalization of the multiplication-and-report behavior."
SFH-012,Capability 2: Structured-output Validity & Value Accuracy,Array Structure,"Return JSON with field ""colors"" as an array of exactly 3 strings: ""red"", ""blue"", ""green"", in that order.",array length == 3; exact values and order,"Same string-array mechanism as SFR-056, but a new element domain (colors vs. tags)."
SFH-013,Capability 3: Factual/Knowledge Recall Accuracy,Common Fact Recall,What is the capital of Japan? Answer with only the city name.,exact match (case-insensitive) to 'Tokyo',"Same non-numeric canonical-fact mechanism as SFR-061, but a different country, avoiding a direct paraphrase."
SFH-014,Capability 3: Factual/Knowledge Recall Accuracy,Numerical Fact Recall,How many minutes are in a standard basketball quarter under NBA rules? Answer with only the number.,exact match to '12',"Same standardized-protocol-value mechanism as SFR-064/065, but a new domain (sports regulation) not seen in any core item."
SFH-015,Capability 3: Factual/Knowledge Recall Accuracy,Entity Relation Recall,Who composed the Ninth Symphony featuring the 'Ode to Joy'? Answer with only the name.,exact/partial match against 'Ludwig van Beethoven' (accepts 'Beethoven' alone),"Same composer/work relational mechanism as SFR-077/078, but a musical rather than literary/artistic domain."
