# F2_CHECKPOINT_VERSION_STABILITY_120x20.md — per-run details (plain text for GitHub)

## Per-run details

### Run 01 — `F2-checkpoint-version-20260811T210934Z-f12d64d5`

| | |
|---|---|
| Strict | **90.0%** (108/120) |
| Tolerant | 91.7% (110/120) |
| HTTP 200 | 120/120 |
| Wall time | 98.1 s |
| Warmup | yes (5 discarded) |

**GPU during run (2s samples):**

| Metric | Value |
|---|---|
| samples | 28 |
| util max % | 98.0 |
| util mean % | 45.3 |
| mem last MiB | 29720.0 |
| mem mean MiB | 29720 |
| temp max °C | 51.0 |
| power max W | 501.86 |

**GPU snapshot (post-run):**

| Field | Value |
|---|---|
| name | NVIDIA GeForce RTX 5090 |
| util_gpu_pct | 0.0 |
| util_mem_pct | 0.0 |
| memory_used_mib | 29720.0 |
| memory_total_mib | 32607.0 |
| temperature_c | 41.0 |
| power_w | 69.58 |

**vLLM metrics (post-run):**

| Metric | Value |
|---|---|
| `e2e_request_latency_seconds` | 1786482023.567247 |
| `generation_tokens_total` | 5184.0 |
| `num_requests_running` | 0.0 |
| `num_requests_waiting` | 0.0 |
| `prompt_tokens_total` | 9442.0 |
| `time_to_first_token_seconds` | 1786482023.5671768 |

**By capability (strict):**
- Cap 1: 23/30
- Cap 2: 30/30
- Cap 3: 29/30
- Cap 4: 26/30

**All canaries (120) — strict / tolerant / score:**

| ID | Subtype | Strict | Tolerant | Score | Note / score_details |
|---|---|:---:|:---:|---:|---|
| SFC-001 | Quantitative Constraint Compliance | FAIL | FAIL | 0.00 | {'observed': 26, 'op': '==', 'n': 25} |
| SFC-002 | Quantitative Constraint Compliance | PASS | PASS | 1.00 | {'observed': 97, 'op': '>=', 'n': 40} |
| SFC-003 | Quantitative Constraint Compliance | PASS | PASS | 1.00 | {'observed': 22, 'op': '<=', 'n': 35} |
| SFC-004 | Quantitative Constraint Compliance | PASS | PASS | 1.00 | {'observed': 8, 'op': '==', 'n': 8} |
| SFC-005 | Quantitative Constraint Compliance | FAIL | FAIL | 0.00 | {'observed': 4, 'op': '==', 'n': 6} |
| SFC-006 | Keyword Inclusion | PASS | PASS | 1.00 | {'family': ['thank', 'thanks', 'thanking'], 'observed': 1, 'min_count': 1, 'exact_count': None, 'same_sentence_with': [] |
| SFC-007 | Keyword Inclusion | FAIL | FAIL | 0.00 | {'family': ['points'], 'observed': 2, 'min_count': None, 'exact_count': 3, 'same_sentence_with': []} |
| SFC-008 | Keyword Inclusion | PASS | PASS | 1.00 | {'family': ['mandatory'], 'observed': 1, 'min_count': 1, 'exact_count': None, 'same_sentence_with': ['hard-hat', 'hard h |
| SFC-009 | Keyword Inclusion | PASS | PASS | 1.00 | {'family': ['p-value'], 'observed': 3, 'min_count': 1, 'exact_count': None, 'same_sentence_with': []} |
| SFC-010 | Keyword Inclusion | FAIL | FAIL | 0.00 | {'family': ['sorry'], 'observed': 0, 'min_count': None, 'exact_count': 1, 'same_sentence_with': []} |
| SFC-011 | Keyword Exclusion | PASS | PASS | 1.00 | {'hits': {'cancel': 0, 'cancelled': 0, 'canceled': 0, 'cancellation': 0, 'cancelling': 0, 'canceling': 0}} |
| SFC-012 | Keyword Exclusion | PASS | PASS | 1.00 | {'hits': {'error': 0, 'failure': 0, 'crash': 0}} |
| SFC-013 | Keyword Exclusion | PASS | PASS | 1.00 | {'hits': {'<digit>': 0, '<number_words>': 0}, 'number_words': []} |
| SFC-014 | Keyword Exclusion | FAIL | FAIL | 0.00 | {'hits': {'<digit>': 9}} |
| SFC-015 | Keyword Exclusion | PASS | PASS | 1.00 | {'hits': {'good': 0, 'better': 0, 'best': 0}} |
| SFC-016 | Structural Formatting Compliance | PASS | PASS | 1.00 | {'rule': 'numbered_lines', 'checks': {'line_count': True, 'numbered': True, 'nothing_else': True}, 'lines': ['1. Standar |
| SFC-017 | Structural Formatting Compliance | PASS | PASS | 1.00 | {'rule': 'prefix_lines', 'checks': {'line_count': True, 'prefixes': True}, 'lines': ['Q: What is the difference between  |
| SFC-018 | Structural Formatting Compliance | PASS | PASS | 1.00 | {'rule': 'delimiter_wrap', 'checks': {'line_count': True, 'open': True, 'close': True, 'body': True}, 'lines': ['=====', |
| SFC-019 | Structural Formatting Compliance | PASS | PASS | 1.00 | {'rule': 'quoted_whole', 'checks': {'quoted': True, 'non_empty_inner': True, 'no_outer_text': True}, 'lines': ['"Unleash |
| SFC-020 | Structural Formatting Compliance | PASS | PASS | 1.00 | {'rule': 'bold_headers', 'checks': {'header_count': True, 'bodies': True}, 'lines': ['**New Product Launch**', 'We are t |
| SFC-021 | Response Language Fidelity | PASS | PASS | 1.00 | {'expected': 'fr', 'detected': [{'lang': 'fr', 'prob': 0.9999993454403389}], 'content_ok': True} |
| SFC-022 | Response Language Fidelity | PASS | PASS | 1.00 | {'expected': 'es', 'detected': [{'lang': 'es', 'prob': 0.9999950902273366}]} |
| SFC-023 | Response Language Fidelity | PASS | PASS | 1.00 | {'expected': 'de', 'detected': [{'lang': 'de', 'prob': 0.9999971188540946}], 'content_ok': True} |
| SFC-024 | Response Language Fidelity | PASS | PASS | 1.00 | {'expected': 'fr', 'detected': [{'lang': 'fr', 'prob': 0.999996144163046}]} |
| SFC-025 | Response Language Fidelity | PASS | PASS | 1.00 | {'expected': 'pt', 'detected': [{'lang': 'pt', 'prob': 0.9999961746771306}]} |
| SFC-026 | Ordering/Sequencing | PASS | PASS | 1.00 | {'expected': 'Monday, Wednesday, Friday', 'observed': 'Monday, Wednesday, Friday'} |
| SFC-027 | Ordering/Sequencing | PASS | PASS | 1.00 | {'indexes': [13, 159, 328], 'missing': [], 'ordered': True, 'used_aliases': ['request a reset link', 'click the link', ' |
| SFC-028 | Ordering/Sequencing | PASS | PASS | 1.00 | {'indexes': [3, 13, 23, 33], 'missing': [], 'ordered': True, 'used_aliases': ['spring', 'summer', 'autumn', 'winter'], ' |
| SFC-029 | Ordering/Sequencing | FAIL | FAIL | 0.00 | {'indexes': [-1, -1, -1, -1, -1], 'missing': ['order placed', 'payment verified', 'item picked', 'item packed', 'item sh |
| SFC-030 | Ordering/Sequencing | FAIL | PASS | 0.00 | {'indexes': [67, 241, 497], 'missing': [], 'ordered': True, 'used_aliases': ['agent reviews', 'notify a supervisor', 'ti |
| SFC-031 | Flat Schema | PASS | PASS | 1.00 | {'parsed': {'name': 'Basic Plan', 'price': 9.99}, 'values_ok': True, 'dates_ok': True} |
| SFC-032 | Flat Schema | PASS | PASS | 1.00 | {'parsed': {'city': 'Austin', 'zip': '78701'}, 'values_ok': True, 'dates_ok': True} |
| SFC-033 | Flat Schema | PASS | PASS | 1.00 | {'parsed': {'name': 'Wireless Mouse', 'price': 24.99, 'in_stock': True}, 'values_ok': True, 'dates_ok': True} |
| SFC-034 | Flat Schema | PASS | PASS | 1.00 | {'parsed': {'id': 5}, 'values_ok': True, 'dates_ok': True} |
| SFC-035 | Flat Schema | PASS | PASS | 1.00 | {'parsed': {'order_id': 88, 'customer': 'J. Rivera', 'placed_on': '2026-03-14', 'paid': True}, 'values_ok': True, 'dates |
| SFC-036 | Nested Schema | PASS | PASS | 1.00 | {'parsed': {'customer': {'id': 42, 'active': True}}, 'values_ok': True, 'dates_ok': True} |
| SFC-037 | Nested Schema | PASS | PASS | 1.00 | {'parsed': {'order': {'item': 'Widget', 'quantity': 3}}, 'values_ok': True, 'dates_ok': True} |
| SFC-038 | Nested Schema | PASS | PASS | 1.00 | {'parsed': {'company': {'address': {'city': 'Denver', 'zip': '80202'}}}, 'values_ok': True, 'dates_ok': True} |
| SFC-039 | Nested Schema | PASS | PASS | 1.00 | {'parsed': {'a': {'b': {'c': 1}}}, 'values_ok': True, 'dates_ok': True} |
| SFC-040 | Nested Schema | PASS | PASS | 1.00 | {'parsed': {'ticket': {'assignee': {'name': 'Dana Kim', 'team': 'Support', 'active': True}}}, 'values_ok': True, 'dates_ |
| SFC-041 | Type Strictness | PASS | PASS | 1.00 | {'parsed': {'count': 7}, 'values_ok': True, 'dates_ok': True} |
| SFC-042 | Type Strictness | PASS | PASS | 1.00 | {'parsed': {'in_stock': False}, 'values_ok': True, 'dates_ok': True} |
| SFC-043 | Type Strictness | PASS | PASS | 1.00 | {'parsed': {'age': 30}, 'values_ok': True, 'dates_ok': True} |
| SFC-044 | Type Strictness | PASS | PASS | 1.00 | {'parsed': {'first_name': 'Alex', 'middle_name': None}, 'values_ok': True, 'dates_ok': True} |
| SFC-045 | Type Strictness | PASS | PASS | 1.00 | {'parsed': {'num_items': 4}, 'values_ok': True, 'dates_ok': True} |
| SFC-046 | Enum Constraint | PASS | PASS | 1.00 | {'parsed': {'status': 'pending'}, 'values_ok': True, 'dates_ok': True} |
| SFC-047 | Enum Constraint | PASS | PASS | 1.00 | {'parsed': {'severity': 'high'}, 'values_ok': True, 'dates_ok': True} |
| SFC-048 | Enum Constraint | PASS | PASS | 1.00 | {'parsed': {'severity': 'high'}, 'values_ok': True, 'dates_ok': True} |
| SFC-049 | Enum Constraint | PASS | PASS | 1.00 | {'parsed': {'region': 'northeast'}, 'values_ok': True, 'dates_ok': True} |
| SFC-050 | Enum Constraint | PASS | PASS | 1.00 | {'parsed': {'status': 'closed'}, 'values_ok': True, 'dates_ok': True} |
| SFC-051 | Value Accuracy | PASS | PASS | 1.00 | {'parsed': {'total': 12}, 'values_ok': True, 'dates_ok': True} |
| SFC-052 | Value Accuracy | PASS | PASS | 1.00 | {'parsed': {'arrival_day': 7}, 'values_ok': True, 'dates_ok': True} |
| SFC-053 | Value Accuracy | PASS | PASS | 1.00 | {'parsed': {'ratio': 0.75}, 'values_ok': True, 'dates_ok': True} |
| SFC-054 | Value Accuracy | PASS | PASS | 1.00 | {'parsed': {'sale_price': 60}, 'values_ok': True, 'dates_ok': True} |
| SFC-055 | Value Accuracy | PASS | PASS | 1.00 | {'parsed': {'total': 29.99}, 'values_ok': True, 'dates_ok': True} |
