Database,Exact Query,Search Date,Filters,Approx. Result Count,Papers Screened,Papers Retained,Duplicates Removed,Strongest Paper Found,What the Search Revealed,Next Search Needed
"Web search (general, surfacing arXiv/ACL/ACM/IEEE sources)","""LLM observability"" survey production monitoring arxiv",2026-07-23,None applied,~7 shown,7,1,0,AI Observability for LLM Systems: Multi-Layer Analysis (arXiv 2604.26152),"Mostly vendor/marketing content (Confident AI, Inference.net, GetMaxim); confirms LLM observability is an active but largely industry-driven space with few peer-reviewed anchors.",Search ACL Anthology and IEEE Xplore directly (not just web search) for 'LLM observability' to find peer-reviewed venue matches.
Web search / arXiv,AgentOps Enabling Observability of LLM Agents Dong Lu Zhu,2026-07-23,None,10 shown,10,1,0,AgentOps (arXiv:2411.05285),"Confirmed exact title, authors, and arXiv ID for the required known paper; v1 title differs from v2 (taxonomy framing).",None — fully verified via arXiv primary source.
Web search / arXiv / researchr / IEEE Xplore,Watson Cognitive Observability Framework Reasoning LLM-Powered Agents Rombaut Masoumzadeh Vasilevski Lin Hassan,2026-07-23,None,5 shown,5,1,0,Watson (arXiv:2411.03455 / ASE 2025),"Confirmed ASE 2025 venue, full author list and affiliations via the official ASE 2025 researchr program page (independent of arXiv).",Obtain the official ACM/IEEE DOI record directly (IEEE Xplore fetch was blocked/paywalled in this pass) to complete the DOI field.
Web search / ACM DL / Semantic Scholar API / SIGCHI program,"""Design Principles"" ""LLM Observability"" developers CHI EA 2025 10.1145/3706599.3719914",2026-07-23,None,8 shown,8,1,0,Design Principles and Guidelines for LLM Observability (CHI EA 2025),ACM DL page itself was JS-gated and returned no content on automated fetch; Semantic Scholar Graph API successfully returned authoritative author/venue/DOI metadata as a substitute primary-adjacent source.,Attempt a direct ACM DL fetch via Claude-in-Chrome or manual verification to fully satisfy 'official publisher page' preference for this entry.
Web search / arXiv,"""metamorphic testing"" large language models regression arxiv",2026-07-23,None,9 shown,9,2,0,Metamorphic Testing of Large Language Models for Natural Language Processing (ICSME 2025),Multiple active metamorphic-testing-for-LLMs papers (2024-2026); this theme is well covered by recent work.,Backward citation check on the ICSME 2025 paper's 191-MR literature review to find earlier foundational MR catalogs.
Web search / arXiv,LLM regression testing prompt changes software engineering paper,2026-07-23,None,10 shown,10,3,0,(Why) Is My Prompt Getting Worse? (CAIN 2024),Found the core CAIN 2024 case-study paper plus RETAIN (EMNLP 2024 Demo); this is the strongest direct evidence base for SemaFailBench's motivation.,Forward-citation search on the CAIN 2024 paper to find any 2025-2026 papers building directly on it.
Web search / arXiv,chat template sensitivity instruction tuned model performance paper arxiv,2026-07-23,None,10 shown,10,5,0,Quantifying Language Models' Sensitivity to Spurious Features in Prompt Design (ICLR 2024),"Chat-template/prompt-format sensitivity is the best-evidenced fault category found in this review, with convergent, large-effect-size findings across 5+ independent papers.","None major — consider one more pass specifically on 'special token chat template LLM' per the assignment's theme-4 query list, not yet run separately."
Web search / arXiv,tokenizer mismatch large language model inference quality arxiv,2026-07-23,None,8 shown,8,3,0,Problematic Tokens: Tokenizer Bias in LLMs (IEEE PSBD 2024),"Tokenizer papers found emphasize vocabulary-construction bias and adversarial segmentation attacks, not deployment-time tokenizer/model mismatch specifically — a gap for SemaFailBench to fill.",Search specifically for 'tokenizer version mismatch inference' and 'padding side LLM inference' (assignment's theme-5 queries) which were not yet run as standalone searches.
Web search / arXiv,4-bit quantization evaluation degradation instruction following LLM arxiv,2026-07-23,None,8 shown,8,1,0,From Signal Degradation to Computation Collapse (arXiv 2604.19884),Quantization-degradation literature is large and active in 2025-2026; PDF fetch failures for the newest (2026) preprints limited full verification of two entries.,"Retry PDF/HTML fetch for arXiv:2604.19884 and arXiv:2605.15208 via an alternate method (e.g., Chrome-rendered view) to complete verification."
Web search / arXiv,LoRA adapter mismatch deployment serving reliability arxiv,2026-07-23,None,6 shown,6,3,0,S-LoRA: Serving Thousands of Concurrent LoRA Adapters,Found strong systems-level serving literature (S-LoRA) but very little on *correctness* verification of adapter selection — apparent genuine gap.,Search 'wrong adapter large language model' and 'adapter composition failure LLM' (assignment's theme-6 queries) as standalone searches; not yet run separately from this combined query.
Web search / arXiv,decoding temperature top-p sensitivity evaluation LLM output quality arxiv,2026-07-23,None,10 shown,10,0,0,"(none retained — results were about adaptive decoding methods, not deployment drift)",This theme returned mostly papers on *designing better* decoding algorithms rather than studying decoding-configuration drift as a monitoring/deployment problem — the weakest-covered theme in this review.,"Priority for next iteration: search 'stop sequence generation failure', 'max tokens truncation LLM quality', and 'sampling configuration regression LLM' directly, plus check MLSys/USENIX proceedings for serving-config-drift papers."
Web search / arXiv,semantic drift detection LLM outputs production embedding monitoring arxiv,2026-07-23,None,7 shown,7,1,0,Zero-Shot Embedding Drift Detection (ZEDD),"Most 'semantic drift' results found were security/prompt-injection papers rather than deployment-regression monitoring, consistent with the assignment's warning that 'canary' and adjacent terms often surface security literature.","Run the assignment's suggested fallback queries explicitly: 'probe prompts', 'diagnostic prompts', 'behavioral probes', 'sentinel tests', 'continuous test suite', 'model health checks' — not yet run as standalone searches in this pass."
Web search / arXiv,Holistic Evaluation of Language Models HELM Stanford paper,2026-07-23,None,9 shown,9,1,0,Holistic Evaluation of Language Models (TMLR 2023),Confirmed full 49-author list and TMLR 2023 publication (not just arXiv) directly from the arXiv journal-reference field.,None — fully verified.
Web search / arXiv,IFEval instruction following evaluation benchmark paper Google,2026-07-23,None,10 shown,10,1,0,Instruction-Following Evaluation for Large Language Models (IFEval),Confirmed full author list and verifiable-instruction design directly from arXiv; strong candidate as a canary-format baseline for SemaFailBench.,None — fully verified.
Web search / arXiv,LLM agent failure taxonomy debugging benchmark arxiv 2024 2025,2026-07-23,None,10 shown,10,3,0,Where LLM Agents Fail and How They can Learn From Failures (AgentDebug),"Surfaced a cluster of related 2025-2026 agent-failure-taxonomy papers (MAST, Who&When, AgenTracer per search summaries) not independently verified/added in this pass — flagged for follow-up.","Independently verify and consider adding MAST (Cemri et al., 2026), Who&When (Zhang et al., 2025), and AgenTracer (Zhang et al., 2026) in a follow-up pass."
