Prompt ID,Capability,Subtype,Difficulty,Difficulty Status,Prompt,Expected Behavior,Primary Assertion,Fixture Conditions,Reason for Inclusion,Primary Semantic Behavior,Faults Potentially Sensitive To,Source / Design Rationale,Revision Status,Revision Note
SFC-001,Capability 1: Instruction-following Fidelity,Quantitative Constraint Compliance,Easy,Design label (semantic-subtlety basis); not yet empirically calibrated,Write a product description for a stainless steel water bottle. Your response must be exactly 25 words.,word_count == 25,word_count == 25,N/A -- Capability 1 items are not schema-based; the instructed content itself is not separately scored beyond the single tested behavior.,Anchors the subtype with the simplest exact-count case.,Exact numeric word-count compliance.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)","Original SFR-001, unchanged.",KEEP,No prompt or expected-behavior change in this pass.
SFC-002,Capability 1: Instruction-following Fidelity,Quantitative Constraint Compliance,Easy,Design label (semantic-subtlety basis); not yet empirically calibrated,Explain why customers should choose annual billing over monthly billing. Your response must be at least 40 words.,word_count >= 40,word_count >= 40,N/A -- Capability 1 items are not schema-based; the instructed content itself is not separately scored beyond the single tested behavior.,"Minimum-bound variant, completes the exact/min/max coverage.",Minimum-bound word-count compliance.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)","Original SFR-002, unchanged.",KEEP,No prompt or expected-behavior change in this pass.
SFC-003,Capability 1: Instruction-following Fidelity,Quantitative Constraint Compliance,Moderate,Design label (semantic-subtlety basis); not yet empirically calibrated,Describe our return policy in brief. Your response must be no more than 35 words.,word_count <= 35,word_count <= 35,N/A -- Capability 1 items are not schema-based; the instructed content itself is not separately scored beyond the single tested behavior.,"Maximum-bound variant, completes the exact/min/max trio.",Maximum-bound word-count compliance.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)","Original SFR-003, unchanged.",KEEP,No prompt or expected-behavior change in this pass.
SFC-004,Capability 1: Instruction-following Fidelity,Quantitative Constraint Compliance,Moderate,Design label (semantic-subtlety basis); not yet empirically calibrated,Write a one-line product tagline for a running shoe. Your response must be exactly 8 words.,word_count == 8,word_count == 8,N/A -- Capability 1 items are not schema-based; the instructed content itself is not separately scored beyond the single tested behavior.,"A tighter exact-count target, harder to hit reliably than SFR-001's 25-word target.",Exact numeric word-count compliance under a tight target.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)","Original SFR-004, unchanged.",KEEP,No prompt or expected-behavior change in this pass.
SFC-005,Capability 1: Instruction-following Fidelity,Quantitative Constraint Compliance,Hard,Design label (semantic-subtlety basis); not yet empirically calibrated,Describe a scheduled maintenance notice in exactly 6 words.,word_count == 6,word_count == 6,N/A -- Capability 1 items are not schema-based; the instructed content itself is not separately scored beyond the single tested behavior.,"A very tight exact-count target (6 words) is the hardest single-condition case in the subtype, replacing a compound two-condition item.",Exact numeric word-count compliance under an extremely tight target.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)",Rewritten from SFR-005 to remove the compound sentence-count+word-count condition (Problem A).,MODIFIED,Removed unstated-fact content (Issue 6); prompt is now fully self-contained.
SFC-006,Capability 1: Instruction-following Fidelity,Keyword Inclusion,Easy,Design label (semantic-subtlety basis); not yet empirically calibrated,Write a short thank-you note to a customer. Some form of the word 'thank' must appear at least once.,case-insensitive presence of the 'thank' word family (thank/thanks/thanking),case-insensitive presence of the 'thank' word family (thank/thanks/thanking),N/A -- Capability 1 items are not schema-based; the instructed content itself is not separately scored beyond the single tested behavior.,Simplest presence-only inclusion case.,Keyword-family presence.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)","Original SFR-006, unchanged.",KEEP,No prompt or expected-behavior change in this pass.
SFC-007,Capability 1: Instruction-following Fidelity,Keyword Inclusion,Moderate,Design label (semantic-subtlety basis); not yet empirically calibrated,Write a paragraph about our loyalty program. The word 'points' must appear exactly 3 times.,case-insensitive count('points') == 3,case-insensitive count('points') == 3,N/A -- Capability 1 items are not schema-based; the instructed content itself is not separately scored beyond the single tested behavior.,"Frequency-exact variant, harder than mere presence.",Exact keyword-frequency compliance.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)","Original SFR-007, unchanged.",KEEP,No prompt or expected-behavior change in this pass.
SFC-008,Capability 1: Instruction-following Fidelity,Keyword Inclusion,Moderate,Design label (semantic-subtlety basis); not yet empirically calibrated,Write a safety notice for a construction site. The word 'mandatory' must appear in direct connection with hard-hat usage.,presence of 'mandatory' within the same sentence as a hard-hat reference,presence of 'mandatory' within the same sentence as a hard-hat reference,N/A -- Capability 1 items are not schema-based; the instructed content itself is not separately scored beyond the single tested behavior.,"Requires the keyword to be tied to a specific referent, not merely present anywhere.",Referent-bound keyword presence.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)","Original SFR-008, unchanged.",KEEP,No prompt or expected-behavior change in this pass.
SFC-009,Capability 1: Instruction-following Fidelity,Keyword Inclusion,Hard,Design label (semantic-subtlety basis); not yet empirically calibrated,"Explain what a 'null hypothesis' is to a first-year statistics student, using the term 'p-value' at least once.",case-insensitive presence of 'p-value',case-insensitive presence of 'p-value',N/A -- Capability 1 items are not schema-based; the instructed content itself is not separately scored beyond the single tested behavior.,Places the keyword requirement inside a jargon-dense explanatory register.,Keyword presence under a harder generative register.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)","Original SFR-009, unchanged.",KEEP,No prompt or expected-behavior change in this pass.
SFC-010,Capability 1: Instruction-following Fidelity,Keyword Inclusion,Hard,Design label (semantic-subtlety basis); not yet empirically calibrated,"Write an apology message for a shipping delay in which the word 'sorry' appears exactly once (not zero times, not more than once).",case-insensitive count('sorry') == 1,case-insensitive count('sorry') == 1,N/A -- Capability 1 items are not schema-based; the instructed content itself is not separately scored beyond the single tested behavior.,Suppressing the natural urge to apologize more than once across three sentences is a harder single-condition frequency case than SFR-007's shorter paragraph.,"Exact keyword-frequency compliance under a longer, apology-prone register.","Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)",Rewritten from SFR-010 to remove the dual keyword-frequency condition (Problem A).,MODIFIED,Removed the unrelated 'three-sentence' length requirement to isolate Keyword Inclusion.
