Rank,Paper ID,Paper,Importance (1-5),Why Foundational,Must Cite?,Which Section
1.0,P004,(Why) Is My Prompt Getting Worse? Rethinking Regression Testing in the Age of LLMs (CAIN 2024),5.0,"The single strongest direct, on-topic motivating case study in the whole review: a real silent regression from an LLM API update, documented empirically rather than hypothetically. Anchors the paper's core motivation with concrete evidence rather than an abstract claim.",Yes,Introduction
2.0,P024,How Does Quantization Affect Multilingual LLMs? (Findings of EMNLP 2024 — peer-reviewed and officially published),5.0,"Provides the strongest documented evidence of SemaFailBench's core premise: automatic metrics can systematically underestimate human-perceived quality degradation from a deployment change, i.e., infrastructure/automatic signals can look fine while quality silently degrades.",Yes,Introduction; Related Work
3.0,P040,Monitoring and Observability of Machine Learning Systems: Current Practices and Gaps (arXiv preprint only),5.0,"Closest real-world, practitioner-sourced corroboration of the paper's own framing (""production ML systems fail silently through wrong decisions"") found anywhere in the review; grounds the motivation in empirical practitioner testimony, not just researcher intuition.",Yes,Introduction
4.0,P035,"A Systematic Taxonomy of Failure Modes in Retrieval-Augmented Generation Systems (TrustNLP 2026 — workshop publication, peer-reviewed and officially published)",5.0,"Closest methodological sibling in the entire review: a taxonomy-plus-evidence-grading structure for pipeline failure modes, directly reusable as a template for SemaFailBench's own deployment-fault taxonomy and evidence-grading approach.",Yes,Related Work; Method
5.0,P020,"Holistic Evaluation of Language Models (HELM, TMLR 2023)",5.0,"The field's dominant precedent for standardized, multi-metric, multi-scenario LLM evaluation; establishes the evaluation-rigor bar SemaFailBench must be positioned against and partially extend into the deployment-monitoring setting.",Yes,Related Work
6.0,P021,Instruction-Following Evaluation for Large Language Models (IFEval),5.0,"Supplies a deterministic, automatically-scorable, rule-checkable canary format directly reusable (with adaptation) for SemaFailBench's own canary-prompt suite.",Yes,Method
7.0,P001,AgentOps: Enabling Observability of LLM Agents,4.0,One of three explicitly required-verification papers for this project; establishes the AgentOps vocabulary (traces/logs/monitoring artifacts) SemaFailBench builds on to argue infrastructure observability is necessary but not sufficient for detecting semantic regressions.,Yes,Introduction; Related Work
8.0,P002,Watson: A Cognitive Observability Framework for the Reasoning of LLM-Powered Agents (ASE 2025),4.0,"One of three explicitly required-verification papers for this project; represents the closest existing 'observability framework' precedent, against which SemaFailBench must clearly differentiate its serving-layer (vs. reasoning-layer) focus.",Yes,Related Work
9.0,P003,Design Principles and Guidelines for LLM Observability: Insights from Developers (CHI EA 2025),4.0,One of three explicitly required-verification papers for this project; provides developer-sourced design principles for LLM observability tooling that SemaFailBench's own canary-protocol design should be checked against for practical usability.,Yes,Introduction; Discussion
10.0,P016,Investigating the Impact of Quantization Methods on the Safety and Reliability of Large Language Models,4.0,"One of three independent, convergent pieces of evidence (with P023, P047) that quantization reliably degrades LLM safety/behavior — together the best-evidenced deployment-fault category in the review.",Yes,Related Work
11.0,P023,"Quantization Undoes Alignment: Bias Emergence in Compressed LLMs (IEEE Cloud Summit 2026 — accepted, proceedings pending)",4.0,"Provides a quantified, dose-response relationship between quantization precision and bias/behavioral degradation (exact figures verified from primary source), strengthening the quantization fault category with hard numbers. Cite with the 'accepted, proceedings pending' caveat until the official IEEE proceedings record is opened.",Yes,Related Work
12.0,P047,Q-resafe: Assessing Safety Risks and Quantization-aware Safety Patching for Quantized LLMs (ICML 2025),4.0,"Third independent, ICML-peer-reviewed confirmation of quantization-induced safety degradation, and the only one of the three to also propose a mitigation — useful as a discussion point on detection-vs-mitigation framing.",Yes,Related Work; Discussion
13.0,P008,ChatBug: A Common Vulnerability of Aligned LLMs Induced by Chat Templates,4.0,"Demonstrates chat-template handling is safety-critical, directly supporting inclusion of chat-template mismatch as a deployment-fault category, though framed adversarially rather than as an accidental fault.",Yes,Related Work
14.0,P026,Quantifying Language Models' Sensitivity to Spurious Features in Prompt Design (ICLR 2024),4.0,"Establishes large, reproducible prompt/format-sensitivity effect sizes (up to 76 accuracy points) using a rigorous ICLR-peer-reviewed methodology — a key building block for the chat-template/prompt-format fault category, the best-evidenced category in the review.",Yes,Related Work
15.0,P038,ProSA: Assessing and Understanding the Prompt Sensitivity of LLMs (Findings of EMNLP 2024),4.0,"Introduces PromptSensiScore, a confidence-based prompt-sensitivity metric that is a strong, ACL-peer-reviewed candidate baseline detector for SemaFailBench's chat-template/prompt-format canary categories.",Yes,Method
16.0,P031,Zero-Shot Embedding Drift Detection (ZEDD),4.0,"The methodologically closest detector-design precedent found in the review: embedding-drift-based detection with a quantified false-positive rate (<3%), directly relevant to SemaFailBench's own detector-design and false-alarm-evaluation needs, even though applied to a different (adversarial) problem.",Yes,Method
17.0,P017,JSONSchemaBench: A Rigorous Benchmark of Structured Outputs for Language Models,4.0,"Documents a reliability gap between schema compliance and field-level value accuracy — directly motivating SemaFailBench's inclusion of structured-output canaries that check semantic correctness, not just syntactic validity.",Yes,Related Work
18.0,P036,Characterizing and Detecting Mismatch in Machine-Learning-Enabled Systems (WAIN 2021),4.0,A foundational software-engineering precedent for exactly SemaFailBench's core concern — misaligned assumptions between roles/components in an ML-enabled system — generalized from classical ML to today's LLM serving stack; a strong structural template for SemaFailBench's own fault taxonomy.,Yes,Related Work; Discussion
19.0,P033,"Efficient Memory Management for LLM Serving with PagedAttention (vLLM, SOSP 2023) — Status: Reading (experimental model roster unresolved)",3.0,"Defines vLLM, one of the most widely deployed open-source LLM serving stacks in production; SemaFailBench's fault-injection framework should be validated against it (or an equivalent stack) for practical deployment relevance. Bibliographic and method-level detail verified; exact experimental model list remains unresolved (see workbook Notes).",Recommended,Method; Implementation
20.0,P046,Are Your LLMs Capable of Stable Reasoning? / G-Pass@k (Findings of ACL 2025 — peer-reviewed and officially published),3.0,"Introduces a multi-sample, stability-aware scoring approach directly relevant to distinguishing genuine deployment-induced regression from ordinary sampling variance in SemaFailBench's canary scoring — a candidate methodology for reducing false alarms.",Recommended,Method
