workbook,sheet,csv_path,n_rows_including_header,n_cols,headers
SemaFailBench_Final_Canary_Dataset_v3_FROZEN.xlsx,README,docs/source_csv/SemaFailBench_Final_Canary_Dataset_v3_FROZEN/README.csv,28,2," | SemaFailBench -- Final Canary Dataset (v3, FROZEN)"
SemaFailBench_Final_Canary_Dataset_v3_FROZEN.xlsx,Prompt_Audit,docs/source_csv/SemaFailBench_Final_Canary_Dataset_v3_FROZEN/Prompt_Audit.csv,151,12,Prompt ID | Previous Prompt | Final Prompt | Previous Expected Behavior | Final Expected Behavior | Decision | Issue Found | Fix Applied | Final Capability | Final Subtype | Final Difficulty | Remaining Concern
SemaFailBench_Final_Canary_Dataset_v3_FROZEN.xlsx,Final_Peer_Review_Audit,docs/source_csv/SemaFailBench_Final_Canary_Dataset_v3_FROZEN/Final_Peer_Review_Audit.csv,151,7,Prompt ID | Capability | Subtype | Decision | Issue Found | Recommended Fix | Rationale
SemaFailBench_Final_Canary_Dataset_v3_FROZEN.xlsx,Core_Canaries,docs/source_csv/SemaFailBench_Final_Canary_Dataset_v3_FROZEN/Core_Canaries.csv,151,15,Prompt ID | Capability | Subtype | Difficulty | Difficulty Status | Prompt | Expected Behavior | Primary Assertion | Fixture Conditions | Reason for Inclusion | Primary Semantic Behavior | Faults Potentially Sensitive To | Source / Design Rationale | Revision Status | Revision Note
SemaFailBench_Final_Canary_Dataset_v3_FROZEN.xlsx,Held_Out_Generalization,docs/source_csv/SemaFailBench_Final_Canary_Dataset_v3_FROZEN/Held_Out_Generalization.csv,25,6,Prompt ID | Capability | Subtype | Prompt | Expected Behavior | What Makes It Held-Out
SemaFailBench_Final_Canary_Dataset_v3_FROZEN.xlsx,Coverage_Summary,docs/source_csv/SemaFailBench_Final_Canary_Dataset_v3_FROZEN/Coverage_Summary.csv,153,1,SemaFailBench v3 (FROZEN) -- Coverage Summary
SemaFailBench_Final_Canary_Dataset_v3_FROZEN.xlsx,Removed_Replaced,docs/source_csv/SemaFailBench_Final_Canary_Dataset_v3_FROZEN/Removed_Replaced.csv,32,5,Round | Prompt ID | Previous Prompt | Reason Removed | Replacement Prompt
Corrected_SemaFailBench_Literature_Review (1).xlsx,Read Me,docs/source_csv/Corrected_SemaFailBench_Literature_Review_1/Read_Me.csv,70,1,SemaFailBench — Structured Literature Review Workbook (Third-Pass / Corrected)
Corrected_SemaFailBench_Literature_Review (1).xlsx,Literature Matrix,docs/source_csv/Corrected_SemaFailBench_Literature_Review_1/Literature_Matrix.csv,51,30,Paper ID | Status | Priority | Paper Title | Authors | Year | Venue / Source | URL / DOI | Research Area | Main Problem | Failure Type | Deployment Fault Injected? | Online or Offline? | Models / Sizes | Serving Stack | Languages | Tasks / Dataset | Detection Method | Metrics | Infrastructure Signals Used? | Main Findings | Limitations | How It Relates to SemaFailBench | Research Gap It Leaves | Code / Data Available? | Notes | Date Added | Read Date | Paper Category | Relevance Score
Corrected_SemaFailBench_Literature_Review (1).xlsx,Gap Summary,docs/source_csv/Corrected_SemaFailBench_Literature_Review_1/Gap_Summary.csv,20,11,Research Area | What Existing Research Studies | Typical Methods | Models and Datasets Commonly Used | Controlled Faults Injected? | Online or Offline Evaluation? | Infrastructure vs. Semantic Signals Compared? | False Alarms / Monitoring Cost Measured? | What Remains Missing | Supporting Paper IDs | Strength of Evidence
Corrected_SemaFailBench_Literature_Review (1).xlsx,Search Log,docs/source_csv/Corrected_SemaFailBench_Literature_Review_1/Search_Log.csv,28,11,Database | Exact Query | Search Date | Filters | Approx. Result Count | Papers Screened | Papers Retained | Duplicates Removed | Strongest Paper Found | What the Search Revealed | Next Search Needed
Corrected_SemaFailBench_Literature_Review (1).xlsx,Closest Competitors,docs/source_csv/Corrected_SemaFailBench_Literature_Review_1/Closest_Competitors.csv,16,14,Paper ID | Paper / Benchmark | Main Task | Injects Realistic Serving Faults? | Defines Semantic Degradation? | Compares Canaries vs. Infrastructure Monitoring? | Evaluates False Positives? | Evaluates Detection Delay? | Measures Monitoring Cost? | Tests Unseen Faults? | Tests Multiple Model Families? | Includes Multilingual Evaluation? | Releases Code or Data? | What Remains Distinct About SemaFailBench
Corrected_SemaFailBench_Literature_Review (1).xlsx,Foundational Papers,docs/source_csv/Corrected_SemaFailBench_Literature_Review_1/Foundational_Papers.csv,21,7,Rank | Paper ID | Paper | Importance (1-5) | Why Foundational | Must Cite? | Which Section
Corrected_SemaFailBench_Literature_Review (1).xlsx,ACL Novelty Assessment,docs/source_csv/Corrected_SemaFailBench_Literature_Review_1/ACL_Novelty_Assessment.csv,14,5,Competitor / Paper | Paper ID | What It Does | Why Isn't SemaFailBench Just This? | Confidence
Corrected_SemaFailBench_Literature_Review (1).xlsx,Phase A Change Log,docs/source_csv/Corrected_SemaFailBench_Literature_Review_1/Phase_A_Change_Log.csv,23,5,# | Change | Sheet(s) Affected | Cell/Row Affected | Justification
