# F2_CHECKPOINT_VERSION_STABILITY_120x5.md — per-run details (plain text for GitHub)

## Per-run details

### Run 01 — `F2-checkpoint-version-20260814T163831Z-d90b15cc`

| | |
|---|---|
| Strict | **92.5%** (111/120) |
| Tolerant | 93.3% (112/120) |
| HTTP 200 | 120/120 |
| Wall time | 99.2 s |
| Warmup | yes (5 discarded) |

**GPU during run (2s samples):**

| Metric | Value |
|---|---|
| samples | 27 |
| util max % | 96.0 |
| util mean % | 57.7 |
| mem last MiB | 29570.0 |
| mem mean MiB | 29570 |
| temp max °C | 53.0 |
| power max W | 439.63 |

**GPU snapshot (post-run):**

| Field | Value |
|---|---|
| name | NVIDIA GeForce RTX 5090 |
| util_gpu_pct | 0.0 |
| util_mem_pct | 0.0 |
| memory_used_mib | 29570.0 |
| memory_total_mib | 32607.0 |
| temperature_c | 44.0 |
| power_w | 57.17 |

**vLLM metrics (post-run):**

| Metric | Value |
|---|---|
| `e2e_request_latency_seconds` | 1786725350.5683856 |
| `generation_tokens_total` | 9746.0 |
| `num_requests_running` | 0.0 |
| `num_requests_waiting` | 0.0 |
| `prompt_tokens_total` | 24316.0 |
| `time_to_first_token_seconds` | 1786725350.568319 |

**By capability (strict):**
- Cap 1: 27/30
- Cap 2: 30/30
- Cap 3: 26/30
- Cap 4: 28/30

**All canaries (120) — strict / tolerant / score:**

| ID | Subtype | Strict | Tolerant | Score | Note / score_details |
|---|---|:---:|:---:|---:|---|
| SFC-001 | Quantitative Constraint Compliance | FAIL | FAIL | 0.00 | {'observed': 23, 'op': '==', 'n': 25} |
| SFC-002 | Quantitative Constraint Compliance | PASS | PASS | 1.00 | {'observed': 101, 'op': '>=', 'n': 40} |
| SFC-003 | Quantitative Constraint Compliance | PASS | PASS | 1.00 | {'observed': 28, 'op': '<=', 'n': 35} |
| SFC-004 | Quantitative Constraint Compliance | PASS | PASS | 1.00 | {'observed': 8, 'op': '==', 'n': 8} |
| SFC-005 | Quantitative Constraint Compliance | FAIL | FAIL | 0.00 | {'observed': 7, 'op': '==', 'n': 6} |
| SFC-006 | Keyword Inclusion | PASS | PASS | 1.00 | {'family': ['thank', 'thanks', 'thanking'], 'observed': 2, 'min_count': 1, 'exact_count': None, 'same_sentence_with': [] |
| SFC-007 | Keyword Inclusion | FAIL | FAIL | 0.00 | {'family': ['points'], 'observed': 4, 'min_count': None, 'exact_count': 3, 'same_sentence_with': []} |
| SFC-008 | Keyword Inclusion | PASS | PASS | 1.00 | {'family': ['mandatory'], 'observed': 2, 'min_count': 1, 'exact_count': None, 'same_sentence_with': ['hard-hat', 'hard h |
| SFC-009 | Keyword Inclusion | PASS | PASS | 1.00 | {'family': ['p-value'], 'observed': 4, 'min_count': 1, 'exact_count': None, 'same_sentence_with': []} |
| SFC-010 | Keyword Inclusion | PASS | PASS | 1.00 | {'family': ['sorry'], 'observed': 1, 'min_count': None, 'exact_count': 1, 'same_sentence_with': []} |
| SFC-011 | Keyword Exclusion | PASS | PASS | 1.00 | {'hits': {'cancel': 0, 'cancelled': 0, 'canceled': 0, 'cancellation': 0, 'cancelling': 0, 'canceling': 0}} |
| SFC-012 | Keyword Exclusion | PASS | PASS | 1.00 | {'hits': {'error': 0, 'failure': 0, 'crash': 0}} |
| SFC-013 | Keyword Exclusion | PASS | PASS | 1.00 | {'hits': {'<digit>': 0, '<number_words>': 0}, 'number_words': []} |
| SFC-014 | Keyword Exclusion | PASS | PASS | 1.00 | {'hits': {'<digit>': 0}} |
| SFC-015 | Keyword Exclusion | PASS | PASS | 1.00 | {'hits': {'good': 0, 'better': 0, 'best': 0}} |
| SFC-016 | Structural Formatting Compliance | PASS | PASS | 1.00 | {'rule': 'numbered_lines', 'checks': {'line_count': True, 'numbered': True, 'nothing_else': True}, 'lines': ['1. Standar |
| SFC-017 | Structural Formatting Compliance | PASS | PASS | 1.00 | {'rule': 'prefix_lines', 'checks': {'line_count': True, 'prefixes': True}, 'lines': ['Q: What is the purpose of this ass |
| SFC-018 | Structural Formatting Compliance | PASS | PASS | 1.00 | {'rule': 'delimiter_wrap', 'checks': {'line_count': True, 'open': True, 'close': True, 'body': True}, 'lines': ['=====', |
