Paper ID,Status,Priority,Paper Title,Authors,Year,Venue / Source,URL / DOI,Research Area,Main Problem,Failure Type,Deployment Fault Injected?,Online or Offline?,Models / Sizes,Serving Stack,Languages,Tasks / Dataset,Detection Method,Metrics,Infrastructure Signals Used?,Main Findings,Limitations,How It Relates to SemaFailBench,Research Gap It Leaves,Code / Data Available?,Notes,Date Added,Read Date,Paper Category,Relevance Score
P001,Reading,High,AgentOps: Enabling Observability of LLM Agents,Liming Dong; Qinghua Lu; Liming Zhu,2024,arXiv preprint (cs.AI/cs.SE),https://arxiv.org/abs/2411.05285,Agent observability,"What artifacts and data should be traced across the lifecycle of LLM agents to make their autonomous, non-deterministic behavior observable for AI-safety purposes?",General observability,No,Conceptual,Not model-specific,Not reported,Not reported,Systematic mapping study of existing AgentOps tools,Qualitative taxonomy (systematic mapping study),Not applicable,Partially,"Proposes a taxonomy of AgentOps artifacts (traces, logs, monitoring data) spanning the agent lifecycle, derived from a systematic mapping of existing tools; presented as a reference template rather than an empirically evaluated detector.",No empirical evaluation against real faults; taxonomy-only contribution; does not test detection of any specific failure mode; no distinction between semantic and infrastructure signals.,Foundation; Background. Establishes AgentOps vocabulary (traces/logs/monitoring artifacts) SemaFailBench can build on when arguing infrastructure observability is necessary but not sufficient for detecting semantic regressions.,The taxonomy catalogs what should be observed but does not test whether any of the cataloged signals actually detect semantic quality regressions when conventional infrastructure metrics stay healthy.,No,"Reviewed at abstract/metadata level for this interim pass (verified via primary source listed in URL/DOI); full-text Method/Experiments/Limitations sections not yet reviewed line-by-line. Author/venue independently re-verified per task instructions (arXiv:2411.05285, submitted 8 Nov 2024, v2 30 Nov 2024, Data61/CSIRO). v1 title was 'A Taxonomy of AgentOps for Enabling Observability of Foundation Model based Agents'. Cite in Related Work (observability background).",2026-07-23,2026-07-23,Foundation; Background,4
P002,Reading,High,Watson: A Cognitive Observability Framework for the Reasoning of LLM-Powered Agents,Benjamin Rombaut; Sogol Masoumzadeh; Kirill Vasilevski; Dayi Lin; Ahmed E. Hassan,2025,ASE 2025 (40th IEEE/ACM International Conference on Automated Software Engineering),https://arxiv.org/abs/2411.03455 (arXiv preprint); conference record: https://conf.researchr.org/details/ase-2025/ase-2025-papers/148/ ; IEEE Xplore record referenced in search results but DOI not independently resolved in this pass,Cognitive observability,"Can the implicit reasoning behind an LLM agent's decisions be recovered and inspected after the fact, without altering agent behavior, to support debugging of agentic software (""Agentware"")?",Agent reasoning failure,No,Offline,Not fully specified in abstract; agents evaluated: AutoCodeRover and OpenHands (per arXiv v3 abstract),Not reported,English,MMLU; SWE-bench Lite (via AutoCodeRover and OpenHands agents),Prompt attribution (retroactive reasoning-trace inference),Not reported,No,"Introduces ""cognitive observability"" and the Watson framework, which retroactively infers reasoning traces for fast-thinking LLM agents; reported to surface actionable reasoning insights and support targeted interventions in both manual-debugging and automated-correction scenarios on MMLU and SWE-bench Lite tasks.","Evaluated only on two task families (MMLU, SWE-bench Lite) and two agent frameworks; no controlled injection of deployment-level faults (e.g., serving misconfiguration); reasoning-trace inference is retroactive/approximate rather than ground-truth.","Related Method; Evaluation-Method Source. Prompt-attribution-based reasoning recovery is a candidate diagnostic technique once a canary flags a regression, complementary to (not a substitute for) canary-based detection.","Watson explains *why* an agent reasoned a certain way after an anomaly is suspected, but does not address *whether* a deployment change (chat-template, adapter, quantization, decoding config) silently altered behavior while infrastructure metrics stayed nominal.",Could not verify,"Reviewed at abstract/metadata level for this interim pass (verified via primary source listed in URL/DOI); full-text Method/Experiments/Limitations sections not yet reviewed line-by-line. Venue independently verified via ASE 2025 program (conf.researchr.org) confirming author list, affiliations (Huawei Canada Centre for Software Excellence; McGill University; Queen's University) and Nov 18 2025 Seoul presentation slot. arXiv preprint dates: v1 5 Nov 2024, v2 6 Mar 2025, v3 19 Sep 2025.",2026-07-23,2026-07-23,Related Method; Evaluation-Method Source,4
P003,Reading,Medium,Design Principles and Guidelines for LLM Observability: Insights from Developers,Xin Chen; Yan Feng Li; Xiaoming Wang,2025,CHI EA 2025 (Extended Abstracts of the CHI Conference on Human Factors in Computing Systems),https://doi.org/10.1145/3706599.3719914,LLM observability,"What design principles do practitioners consider necessary for LLM observability tooling, and how do these principles shape developer experience (mental models, efficiency, understandability)?",General observability,No,Conceptual,Not model-specific,Not applicable,English,Qualitative study: focus groups with developers plus a small designer rating survey,User study / qualitative taxonomy,Qualitative themes; designer ratings (exact scale not confirmed in this pass),Partially,"Derives four developer-centric design principles for LLM observability tooling — Awareness, Monitoring, Intervention, Operability — from focus-group and survey data; argues these principles govern developer mental models and long-term maintainability of observability systems.","Qualitative, developer-experience focus rather than empirical detection accuracy; no evaluation of whether the proposed principles help detect any specific class of model regression; sample size and demographics not confirmed in this pass; single-institution study.","Background. Provides human-centered design vocabulary (Awareness/Monitoring/Intervention/Operability) useful for motivating why canary-based semantic monitoring should be interpretable and actionable to developers, but offers no technical detection method.",The principles describe what developers want from observability tooling in general but do not address the specific case of semantic regressions that leave infrastructure telemetry within normal bounds.,Not applicable,"Reviewed at abstract/metadata level for this interim pass (verified via primary source listed in URL/DOI); full-text Method/Experiments/Limitations sections not yet reviewed line-by-line. Authors and DOI independently re-verified via Semantic Scholar Graph API (DBLP key conf/chi/ChenLW25): Xin Chen, Yan Feng Li, Xiaoming Wang — note this differs slightly from the task's supplied name 'Yan Li' (confirmed full name is 'Yan Feng Li'). Full ACM DL record could not be rendered via automated fetch (JS-gated); metadata cross-checked via Semantic Scholar and SIGCHI program listing instead.",2026-07-23,2026-07-23,Background,3
P004,Read,High,(Why) Is My Prompt Getting Worse? Rethinking Regression Testing for Evolving LLM APIs,Wanqin Ma; Chenyang Yang; Christian Kästner,2024,CAIN 2024 (IEEE/ACM 3rd International Conference on AI Engineering – Software Engineering for AI),https://doi.org/10.1145/3644815.3644950,LLM regression testing,"How should regression testing be reconceived for LLM-API-backed applications, given that silent API/model updates can cause performance regressions and that traditional notions of correctness, prompting brittleness, and non-determinism break standard regression-testing assumptions?",Model-version regression (case study: toxicity-detection prompt regression after silent API change),Partially,Offline,"Five OpenAI GPT-3.5-family models: gpt-3.5-turbo-instruct, gpt-3.5-turbo-0613, gpt-3.5-turbo-0301, text-davinci-003, text-davinci-002 (Table 1), studied as 10 pairwise update comparisons",OpenAI API (per case-study framing; not independently confirmed line-by-line),English,"Case study: toxicity detection on Civil Comments (1,000 sampled comments) and a GitHub Discussion dataset (174 discussions); four prompt strategies (P1-P4)","Case-study analysis; accuracy/F1 at temperature 0; entropy-based confidence analysis (n=20, temp 0.7) to test regression location relative to decision boundary",Accuracy; F1; prediction-flip rate; entropy-based confidence measure,No,"Using a toxicity-detection case study, shows silent updates to LLM APIs can cause measurable performance regressions: 58.8% of prompt+model combinations dropped accuracy across an update (70.2% of drops exceeded 5 points); 10.9% of individual predictions flipped correct-to-wrong; 63.8% of regressions occurred at maximal model confidence (entropy=0); regressions concentrated disproportionately on toxic, political, code-targeted, and severe-toxicity discussions. Argues traditional regression testing needs fundamental changes for LLM APIs.",Authors' own stated limitation: results should not be generalized beyond the specific prompt formats and single-turn request setup used; optimal prompt design may change under different LLM APIs. Single case study (toxicity detection); does not propose a concrete automated detection system; does not compare against infrastructure-health signals; no controlled multi-fault injection framework.,"Foundation; Fault-Design Source. Directly motivates the ""model-revision mismatch"" fault category in SemaFailBench's taxonomy and supports the core premise that LLM behavior can silently regress across API/model updates in ways ordinary testing misses. Its own data-slice-level, non-determinism-aware measurement design prefigures SemaFailBench's own statistical requirements (see Spec Section 16).","Establishes the problem and motivates regression testing conceptually but does not build a reusable benchmark, does not inject a range of deployment faults beyond model-version change, and does not test whether lightweight canary prompts can catch such regressions faster than ad hoc case-study analysis.",Yes (https://github.com/MAWanqin2002/LLM_Regression_Testing),"CORRECTED (third pass): author name corrected from 'Wanqing Ma' to 'Wanqin Ma' per the paper's own byline (HKUST) and PDF header. Full text (Method, Experiments, Limitations) inspected directly via arXiv HTML v2 in the third pass. Bibliographic data verified via Semantic Scholar Graph API (DOI 10.1145/3644815.3644950, DBLP journals/corr/abs-2311-11123). arXiv preprint 2311.11123 (submitted Nov 2023, v2 6 Feb 2024); published version at CAIN 2024, Lisbon, Portugal, April 14-15 2024, used as main entry per task instructions (Rule 10). Status upgraded to 'Read' since Method/Experiments/Findings/Limitations were genuinely inspected.",2026-07-23,2026-07-25,Foundation; Fault-Design Source,5
P005,Reading,High,RETAIN: Interactive Tool for Regression Testing Guided LLM Migration,Tanay Dixit; Daniel Lee; Sally Fang; Sai Sree Harsha; Anirudh Sureshan; Akash V. Maharaj; Yunyao Li,2024,EMNLP 2024 (System Demonstrations),https://aclanthology.org/2024.emnlp-demo.31/,Continuous evaluation,"How can developers efficiently discover and understand behavioral differences introduced by migrating an LLM-backed application between model versions, and can a purpose-built interactive tool outperform manual regression-testing workflows?",Model-version regression,Partially,Offline,Not fully specified in abstract; tool is model-agnostic by design,Not reported,English,User study comparing RETAIN-assisted vs. manual evaluation on LLM migration tasks,Interactive error-discovery module generating textual descriptions of output differences; human-in-the-loop comparison,Number of errors identified; number of prompts tested; task metric scores (exact metric names not confirmed in this pass),No,"In an empirical user study, RETAIN enabled participants to identify roughly twice as many errors, experiment with about 75% more prompts, and achieve about 12% higher metric scores in a fixed time budget compared to manual evaluation during LLM migration.",Requires a human in the loop (not a fully automated online monitor); evaluated on migration/regression scenarios rather than live production deployment faults; no infrastructure-signal comparison; demo-track paper with limited methodological detail.,Related Method; Baseline Source. A human-assisted regression-testing tool that could serve as a non-canary baseline (manual/tool-assisted error discovery) against which SemaFailBench's automated canary detectors can be compared for cost and speed.,"RETAIN accelerates human error discovery during planned migrations but does not address unplanned, silent deployment faults (e.g., wrong chat template, stale adapter) detected automatically and continuously while infrastructure metrics remain healthy.",Could not verify,Reviewed at abstract/metadata level for this interim pass (verified via primary source listed in URL/DOI); full-text Method/Experiments/Limitations sections not yet reviewed line-by-line. Published version confirmed via Semantic Scholar Graph API: ACL Anthology ID 2024.emnlp-demo.31 (EMNLP 2024 System Demonstrations track). arXiv preprint 2409.03928 is the earlier version.,2026-07-23,2026-07-23,Related Method; Baseline Source,3
P006,Reading,Medium,PromptRobust: Towards Evaluating the Robustness of Large Language Models on Adversarial Prompts,Kaijie Zhu; Jindong Wang; Jiaheng Zhou; Zichen Wang; Hao Chen; Yidong Wang; Linyi Yang; Wei Ye; Yue Zhang; Neil Zhenqiang Gong; Xing Xie,2023,"arXiv preprint (technical report; code released as ""PromptBench"")",https://arxiv.org/abs/2306.04528,Benchmark design,"How robust are LLMs to adversarial, meaning-preserving perturbations of prompts (character/word/sentence/semantic level), and how transferable is this robustness across models and tasks?",Prompt-format variation,Partially,Offline,Multiple contemporary open- and closed-source LLMs (exact list not confirmed in this pass),Not reported,English,"Sentiment analysis; natural language inference; reading comprehension; machine translation; math problem-solving (8 tasks, 13 datasets; 4,788 adversarial prompts)",Task-specific scoring under adversarial prompt perturbation,Task accuracy / performance drop (average 39% drop for word-level attacks),No,"Generated 4,788 adversarial prompts across 8 tasks/13 datasets and found contemporary LLMs are not robust to adversarial prompt perturbations, with word-level attacks causing the largest average performance drop (39%); robustness does not reliably transfer across models.",Focuses on adversarially crafted perturbations (attacker-style) rather than benign deployment-configuration changes; no deployment/serving-fault framing; no infrastructure-health comparison; some findings may reflect prompt robustness rather than serving-layer regressions.,"Related Method; Evaluation-Method Source. Demonstrates that small, systematic prompt/format perturbations can be used as standardized stress tests, informing the design of SemaFailBench's semantic-canary prompt suite and its sensitivity analysis across perturbation types.","Evaluates prompt robustness as an intrinsic model property, not as a deployment-monitoring signal; does not test whether such perturbation sensitivity can be repurposed as a canary for detecting serving-side faults distinct from adversarial attack.","Yes (https://github.com/microsoft/promptbench, per arXiv comment field)","Reviewed at abstract/metadata level for this interim pass (verified via primary source listed in URL/DOI); full-text Method/Experiments/Limitations sections not yet reviewed line-by-line. arXiv:2306.04528, v1 7 Jun 2023, latest v5 16 Jul 2024. Cross-listed cs.CL/cs.CR/cs.LG. Also referred to as ""PromptBench"" in some secondary sources; official arXiv title used as of record is ""PromptRobust"".",2026-07-23,2026-07-23,Related Method; Evaluation-Method Source,3
P007,Reading,Medium,Metamorphic Testing of Large Language Models for Natural Language Processing,Steven Cho; Stefano Ruberto; Valerio Terragni,2025,ICSME 2025 (IEEE International Conference on Software Maintenance and Evolution),https://doi.org/10.1109/ICSME64153.2025.00025 (arXiv preprint: https://arxiv.org/abs/2511.02108),LLM regression testing,Can metamorphic testing (defining relationships between outputs of related inputs) reliably expose faulty LLM behaviors on NLP tasks without requiring labeled ground truth?,General observability (oracle-free correctness testing),No,Offline,Three unspecified popular LLMs (exact identities not confirmed in this pass),Not reported,English,"191 collected metamorphic relations (MRs) for NLP tasks; 36 MRs implemented; ~560,000 metamorphic tests executed",Metamorphic testing (MR violation detection),MR violation rate (exact aggregate figures not confirmed in this pass),No,"The most comprehensive metamorphic-testing study of LLMs to date; collects 191 metamorphic relations from the literature, implements 36, and runs ~560,000 metamorphic tests across three LLMs, characterizing both the capability of MT to expose faulty LLM behavior and its practical limitations.","MRs target NLP task correctness broadly, not deployment/serving-configuration faults specifically; oracle problem is only partially solved (MT catches inconsistency, not necessarily quality direction); no infrastructure-signal or production-monitoring framing.","Related Method; Evaluation-Method Source. Metamorphic relations are a natural building block for semantic-canary prompt design (e.g., paraphrase-invariance canaries) and for oracle-free scoring when ground-truth labels are unavailable.","Applies MT to general NLP-task correctness, not to detecting deployment-induced regressions (chat template, adapter, quantization, decoding) under normal infrastructure telemetry, and does not evaluate detection cost/latency in a production-monitoring setting.",Could not verify,"Reviewed at abstract/metadata level for this interim pass (verified via primary source listed in URL/DOI); full-text Method/Experiments/Limitations sections not yet reviewed line-by-line. Bibliographic data verified directly from arXiv abstract page metadata: Journal reference 'Proc. 2025 IEEE Int. Conf. on Software Maintenance and Evolution (ICSME), pp. 174-186, 2025', DOI 10.1109/ICSME64153.2025.00025.",2026-07-23,2026-07-23,Related Method; Evaluation-Method Source,4
P008,Reading,High,ChatBug: A Common Vulnerability of Aligned LLMs Induced by Chat Templates,Fengqing Jiang; Zhangchen Xu; Luyao Niu; Bill Yuchen Lin; Radha Poovendran,2025,"AAAI 2025 (per arXiv comment: ""accepted to AAAI 2025""; exact proceedings pagination not confirmed in this pass)",https://arxiv.org/abs/2406.12935,Chat-template sensitivity,"Does the rigid formatting imposed by chat templates create an exploitable vulnerability, since LLMs are trained to expect the template format but users are not required to follow it, and can this be leveraged to bypass safety alignment?",Wrong chat template (format-deviation exploitation),Partially,Offline,Eight state-of-the-art LLMs (exact identities not confirmed in this pass),Not reported,English,Safety/jailbreak evaluation using two purpose-built attacks exploiting chat-template deviation,Adversarial attack construction + attack-success-rate evaluation,Attack success rate; performance degradation under adversarial-training countermeasure,No,"Identifies ""ChatBug,"" a vulnerability whereby deviating from the exact chat-template format a model was fine-tuned on can bypass safety alignment; demonstrates this against eight SOTA LLMs and shows it can amplify existing jailbreak attacks; adversarial training mitigates the vulnerability but at a cost to general helpfulness.","Frames chat-template deviation as an attacker-controlled exploit rather than an accidental deployment misconfiguration; does not test unintentional chat-template mismatches (e.g., wrong template applied by a serving pipeline) or measure downstream task-quality degradation beyond safety bypass.","Fault-Design Source. Directly evidences that chat-template handling is safety- and behavior-critical, supporting SemaFailBench's inclusion of ""incorrect chat templates"" as a deployment fault category, though ChatBug studies adversarial exploitation rather than accidental misconfiguration.",Does not test the accidental/operational case central to SemaFailBench — a serving pipeline silently applying the wrong or malformed chat template — nor does it propose a canary-based detector for such misconfigurations under normal infrastructure telemetry.,Could not verify,"Reviewed at abstract/metadata level for this interim pass (verified via primary source listed in URL/DOI); full-text Method/Experiments/Limitations sections not yet reviewed line-by-line. arXiv:2406.12935, v1 17 Jun 2024, v2 7 Jan 2025 (post-acceptance revision). AAAI 2025 acceptance stated in arXiv comments field; official AAAI proceedings entry not independently opened in this pass.",2026-07-23,2026-07-23,Fault-Design Source,4
P009,Read,Low,Sensitivity and Robustness of Large Language Models to Prompt Template in Japanese Text Classification Tasks,Chengguang Gan; Tatsunori Mori,2023,arXiv preprint,https://arxiv.org/abs/2305.08714,Chat-template sensitivity,"How sensitive are representative LLMs and a multilingual pre-trained model to variation in prompt-template sentence structure, using Japanese as a lesser-studied-language case study?",Prompt-format variation,Partially,Offline,GPT-4 and other unspecified LLMs; one multilingual pre-trained model,Not reported,Japanese (primary case study),Japanese text-classification benchmark dataset (exact name not confirmed in this pass),Controlled prompt-template variation + accuracy comparison,Accuracy,No,"A simple modification to Japanese prompt-template sentence structure dropped GPT-4 accuracy from 49.21 to 25.44 on the evaluated benchmark, indicating significant prompt-template instability even in a high-capability model, with implications for non-English deployments.","Single-language case study (Japanese); full methodology (exact benchmark name, other models tested) not independently confirmed beyond the abstract in this pass; no deployment/serving framing; no infrastructure-signal comparison.","Related Method. Reinforces that template-format sensitivity is language-dependent, supporting inclusion of multilingual chat-template canaries in SemaFailBench rather than English-only evaluation.",Documents template sensitivity as a static evaluation finding rather than a deployment-monitoring problem; does not propose or test a detector usable in a live serving environment.,Could not verify,"CORRECTED in second-pass review: full title is 'Sensitivity and Robustness of Large Language Models to Prompt Template in Japanese Text Classification Tasks' (first-pass entry used a truncated title). Authors resolved via targeted web search cross-checking arXiv listing and dblp (Gan, C.; Mori, T., Yokohama National University) — dblp record: journals/corr/abs-2305-08714. Status upgraded from 'Reading' to 'Read'.",2026-07-23,2026-07-23,Related Method,2
P010,Reading,Medium,POSIX: A Prompt Sensitivity Index For Large Language Models,Anwoy Chatterjee; H S V N S Kowndinya Renduchintala; Sumit Bhatia; Tanmoy Chakraborty,2024,Findings of EMNLP 2024,https://arxiv.org/abs/2410.02185,Chat-template sensitivity,"How can prompt sensitivity — the degree to which an LLM's output log-likelihood changes under intent-preserving prompt rewordings — be quantified as a standardized index, and what factors (scale, instruction tuning, few-shot exemplars) modulate it?",Prompt-format variation,No,Offline,Multiple open-source LLMs (exact list not confirmed in this pass),Not reported,English,MCQ-type tasks; open-ended generation tasks (exact dataset names not confirmed in this pass),POSIX metric — relative change in response log-likelihood under intent-preserving prompt substitution,POSIX score (log-likelihood-based sensitivity index),No,"Proposes POSIX, a log-likelihood-based prompt-sensitivity index; finds that increasing parameter count or instruction tuning alone does not reduce prompt sensitivity, while adding even one few-shot exemplar substantially reduces it; template alterations most affect MCQ tasks while paraphrasing most affects open-ended generation.","Sensitivity is measured via log-likelihood, which requires model access not always available for closed API deployments; static evaluation rather than continuous production monitoring; no deployment-fault injection or infrastructure-signal comparison.","Related Method; Baseline Source. POSIX-style log-likelihood sensitivity scoring is a candidate lightweight baseline detector for chat-template and prompt-format canaries in SemaFailBench, when logit/log-likelihood access is available from the serving stack.","Quantifies static prompt sensitivity as a model property; does not test whether POSIX-style scores can flag a *change* introduced by a deployment fault (e.g., an incorrectly applied chat template) relative to a known-healthy baseline.","Yes (https://github.com/kowndinya-renduchintala/POSIX, per arXiv abstract)","Reviewed at abstract/metadata level for this interim pass (verified via primary source listed in URL/DOI); full-text Method/Experiments/Limitations sections not yet reviewed line-by-line. Confirmed EMNLP 2024 Findings via arXiv Comments field. arXiv:2410.02185, v1 3 Oct 2024, v2 4 Oct 2024.",2026-07-23,2026-07-23,Related Method; Baseline Source,4
