#,Change,Sheet(s) Affected,Cell/Row Affected,Justification
1,Corrected author name P004 from 'Wanqing Ma' to 'Wanqin Ma',Literature Matrix,P004 row - Authors column,Verified directly from the paper's own byline (HKUST) and PDF header via arXiv HTML v2 fetch.
2,Upgraded Status to 'Read' for P004 with full Method/Experiments/Findings/Limitations detail added,Literature Matrix,P004 row - Status; Models/Sizes; Metrics; Main Findings; Limitations; Notes columns,Full text inspected via arXiv HTML v2 in this pass; exact models (5 named GPT-3.5-family checkpoints); exact datasets (Civil Comments; GitHub Discussion); exact metrics (accuracy; F1; entropy-based confidence); quantitative findings (58.8% regression rate etc.) and the authors' own stated limitation were all confirmed from primary text.
3,Upgraded Status to 'Read' for P020 (HELM),Literature Matrix,P020 row - Status; Models/Sizes; Notes columns,Full text sections inspected via arXiv PDF/HTML extract confirming the 5-shot adaptation procedure and several named models beyond the abstract-level summary.
4,Upgraded Status to 'Read' for P021 (IFEval),Literature Matrix,P021 row - Status; Models/Sizes; Metrics; Notes columns,Full text inspected via arXiv PDF extract confirming exactly two models tested (GPT-4; PaLM 2 S) and the four accuracy-score definitions.
5,Upgraded Status to 'Read' for P026 (FormatSpread),Literature Matrix,P026 row - Status; Models/Sizes; Metrics; Notes columns,Full text sections inspected via ICLR proceedings PDF confirming exact models; task count (53); both accuracy metrics; sampling method; quantitative spread figures.
6,Upgraded Status to 'Read' for P031 (ZEDD),Literature Matrix,P031 row - Status; Tasks/Dataset; Metrics; Notes columns,"Full text sections and the official NeurIPS.cc listing inspected, confirming dataset construction detail and workshop-publication status independently of the arXiv Comments field."
7,Upgraded Status to 'Read' for P035 (RAG failure taxonomy) — already Read in second pass; publication status re-confirmed,Literature Matrix,P035 row - Notes column,Re-confirmed as peer-reviewed and officially published via the ACL Anthology primary record; no substantive change to Status.
8,Upgraded Status to 'Read' for P038 (ProSA),Literature Matrix,P038 row - Status; Detection Method; Notes columns,Full text sections and GitHub README inspected confirming the decoding-confidence-based PSS design rationale.
9,Upgraded Status to 'Read' for P040,Literature Matrix,P040 row - Status; Venue; Notes columns,Full text inspected via arXiv HTML confirming institutional affiliation and the focus-group methodology's grounding in a prior descriptive model; publication status downgraded/confirmed as arXiv-preprint-only based on a generic ACM template placeholder header found in the retrieved text.
10,Upgraded Status to 'Read' for P046 (G-Pass@k),Literature Matrix,P046 row - Status; Metrics; Notes columns,Full text sections and GitHub README inspected confirming G-Pass@k_tau/mG-Pass@k formal definitions; 48-runs-per-model protocol; Qwen2.5-72B-Instruct as judge model.
11,Kept Status as 'Reading' for P033 (vLLM/PagedAttention) — explicitly NOT upgraded to Read,Literature Matrix,P033 row - Status; Notes columns,"Bibliographic record (ACM DL DOI) and GitHub repository confirmed live, but the exact experimental model roster from the SOSP 2023 Experiments section was not itemized from a full-text fetch in this pass. Per explicit task instruction, Status remains 'Reading' with a note stating 'full bibliographic and method verification; complete experimental roster unresolved.'"
